time,ap,inter,util,noise,cl
2019-05-30 17:00:00+1000,pnp3802,13.0,5.0,-86.0,95.0
2019-05-30 17:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 17:15:00+1000,adam-9800-ap,3.0,3.0,-85.0,98.0
2019-05-30 17:15:00+1000,pnp3802,11.0,4.0,-85.0,93.0
2019-05-30 17:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 17:30:00+1000,adam-9800-ap,3.0,3.0,-85.0,99.0
2019-05-30 17:30:00+1000,pnp3802,13.0,7.0,-84.0,89.0
2019-05-30 17:45:00+1000,adam-9800-ap,7.0,6.0,-86.0,99.0
2019-05-30 17:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 17:45:00+1000,pnp3802,12.0,6.0,-87.0,95.0
2019-05-30 18:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 18:00:00+1000,adam-9800-ap,4.0,3.0,-92.0,99.0
2019-05-30 18:00:00+1000,pnp3802,12.0,6.0,-86.0,87.0
2019-05-30 18:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 18:15:00+1000,adam-9800-ap,3.0,3.0,-86.0,98.0
2019-05-30 18:15:00+1000,pnp3802,13.0,6.0,-84.0,94.0
2019-05-30 18:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 18:30:00+1000,pnp3802,27.0,6.0,-88.0,95.0
2019-05-30 18:30:00+1000,adam-9800-ap,5.0,5.0,-75.0,99.0
2019-05-30 18:45:00+1000,adam-9800-ap,5.0,4.0,-85.0,98.0
2019-05-30 18:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 18:45:00+1000,pnp3802,14.0,7.0,-85.0,97.0
2019-05-30 19:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 19:00:00+1000,adam-9800-ap,6.0,5.0,-92.0,99.0
2019-05-30 19:00:00+1000,pnp3802,16.0,8.0,-84.0,90.0
2019-05-30 19:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 19:15:00+1000,adam-9800-ap,3.0,3.0,-92.0,98.0
2019-05-30 19:15:00+1000,pnp3802,11.0,4.0,-85.0,96.0
2019-05-30 19:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 19:30:00+1000,adam-9800-ap,17.0,4.0,-86.0,98.0
2019-05-30 19:30:00+1000,pnp3802,16.0,8.0,-88.0,84.0
2019-05-30 19:45:00+1000,adam-9800-ap,5.0,4.0,-85.0,99.0
2019-05-30 19:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 19:45:00+1000,pnp3802,10.0,3.0,-84.0,97.0
2019-05-30 20:00:00+1000,adam-9800-ap,5.0,4.0,-86.0,99.0
2019-05-30 20:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 20:00:00+1000,pnp3802,14.0,7.0,-88.0,99.0
2019-05-30 20:15:00+1000,adam-9800-ap,4.0,4.0,-88.0,98.0
2019-05-30 20:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 20:15:00+1000,pnp3802,14.0,7.0,-86.0,96.0
2019-05-30 20:30:00+1000,adam-9800-ap,4.0,4.0,-86.0,99.0
2019-05-30 20:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 20:30:00+1000,pnp3802,11.0,4.0,-86.0,94.0
2019-05-30 20:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 20:45:00+1000,pnp3802,10.0,3.0,-86.0,94.0
2019-05-30 20:45:00+1000,adam-9800-ap,6.0,6.0,-84.0,98.0
2019-05-30 21:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 21:00:00+1000,adam-9800-ap,9.0,9.0,-90.0,99.0
2019-05-30 21:00:00+1000,pnp3802,33.0,3.0,-86.0,94.0
2019-05-30 21:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 21:15:00+1000,adam-9800-ap,5.0,4.0,-81.0,98.0
2019-05-30 21:15:00+1000,pnp3802,10.0,3.0,-84.0,93.0
2019-05-30 21:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 21:30:00+1000,adam-9800-ap,4.0,3.0,-83.0,99.0
2019-05-30 21:30:00+1000,pnp3802,15.0,4.0,-87.0,86.0
2019-05-30 21:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 21:45:00+1000,pnp3802,10.0,4.0,-86.0,93.0
2019-05-30 21:45:00+1000,adam-9800-ap,4.0,4.0,-68.0,98.0
2019-05-30 22:00:00+1000,adam-9800-ap,7.0,7.0,-85.0,99.0
2019-05-30 22:00:00+1000,pnp3802,17.0,3.0,-91.0,95.0
2019-05-30 22:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 22:15:00+1000,adam-9800-ap,3.0,3.0,-91.0,98.0
2019-05-30 22:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 22:15:00+1000,pnp3802,22.0,15.0,-86.0,90.0
2019-05-30 22:30:00+1000,pnp3802,36.0,4.0,-84.0,86.0
2019-05-30 22:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 22:30:00+1000,adam-9800-ap,9.0,9.0,-86.0,99.0
2019-05-30 22:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 22:45:00+1000,adam-9800-ap,5.0,5.0,-91.0,98.0
2019-05-30 22:45:00+1000,pnp3802,12.0,3.0,-86.0,84.0
2019-05-30 23:00:00+1000,pnp3802,17.0,10.0,-89.0,88.0
2019-05-30 23:00:00+1000,adam-9800-ap,5.0,4.0,-86.0,99.0
2019-05-30 23:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 23:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 23:15:00+1000,adam-9800-ap,3.0,3.0,-81.0,98.0
2019-05-30 23:15:00+1000,pnp3802,10.0,4.0,-85.0,85.0
2019-05-30 23:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 23:30:00+1000,adam-9800-ap,6.0,6.0,-86.0,99.0
2019-05-30 23:30:00+1000,pnp3802,13.0,6.0,-84.0,81.0
2019-05-30 23:45:00+1000,adam-9800-ap,5.0,4.0,-91.0,99.0
2019-05-30 23:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-30 23:45:00+1000,pnp3802,10.0,3.0,-85.0,93.0
2019-05-31 00:00:00+1000,pnp3802,19.0,12.0,-83.0,96.0
2019-05-31 00:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 00:00:00+1000,adam-9800-ap,22.0,4.0,-68.0,99.0
2019-05-31 00:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 00:15:00+1000,pnp3802,10.0,3.0,-88.0,97.0
2019-05-31 00:15:00+1000,adam-9800-ap,4.0,4.0,-78.0,98.0
2019-05-31 00:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 00:30:00+1000,pnp3802,13.0,6.0,-87.0,93.0
